treat,Group,week,eggs
0c,C1,1,0
0c,C2,1,4
0c,C3,1,0
0c,C4,1,0
0c,C5,1,6
0c,C7,1,2
0c,C9,1,0
0c,C11,1,8
0c,C12,1,4
0c,C13,1,0
0c,C14,1,0
0c,C16,1,6
0c,C17,1,4
0c,C18,1,5
0c,C19,1,4
0c,C20,1,0
0c,C21,1,6
0c,C22,1,3
0c,C23,1,0
0c,C24,1,0
0c,C26,1,0
0c,C27,1,4
0c,C28,1,10
0c,C29,1,6
0c,C30,1,3
0c,C31,1,6
0c,C32,1,0
0c,C33,1,0
0c,C34,1,4
0c,C35,1,2
0c,C36,1,4
0c,C37,1,4
0c,C38,1,1
0c,C39,1,0
a,A1,1,1
a,A2,1,11
a,A3,1,2
a,A4,1,5
a,A5,1,2
a,A6,1,2
a,A7,1,16
a,A9,1,2
a,A10,1,7
a,A11,1,6
a,A12,1,0
a,A13,1,5
a,A14,1,0
a,A15,1,7
a,A16,1,5
a,A17,1,1
a,A18,1,5
a,A19,1,0
a,A21,1,7
a,A22,1,9
a,A23,1,4
a,A24,1,3
a,A26,1,0
a,A27,1,1
a,A28,1,5
a,A29,1,5
a,A31,1,4
a,A32,1,4
a,A33,1,10
a,A34,1,5
a,A35,1,6
a,A36,1,0
a,A37,1,0
1p,P1,1,0
1p,P2,1,5
1p,P4,1,0
1p,P5,1,3
1p,P6,1,1
1p,P8,1,1
1p,P9,1,1
1p,P15,1,5
1p,P17,1,6
1p,P18,1,9
1p,P19,1,6
1p,P23,1,2
1p,P25,1,7
1p,P26,1,4
1p,P31,1,1
1p,P32,1,4
1p,P33,1,5
1p,P37,1,4
1p,P40,1,7
a1p,AP3,1,10
a1p,AP5,1,0
a1p,AP7,1,7
a1p,AP8,1,3
a1p,AP9,1,6
a1p,AP10,1,2
a1p,AP15,1,5
a1p,AP16,1,4
a1p,AP17,1,6
a1p,AP18,1,3
a1p,AP19,1,3
a1p,AP21,1,0
a1p,AP22,1,0
a1p,AP23,1,7
a1p,AP24,1,2
a1p,AP25,1,8
a1p,AP26,1,0
