treatment,ID,time,status,infection
p,P1,5,2,1
p,P2,5,2,1
p,P4,5,2,1
p,P5,5,2,1
p,P6,5,2,1
p,P8,5,2,1
p,P9,5,2,1
p,P15,5,2,1
p,P17,5,2,1
p,P18,5,2,1
p,P19,5,2,1
p,P23,4,2,1
p,P25,5,2,1
p,P26,5,2,1
p,P31,5,2,1
p,P32,5,2,1
p,P33,5,2,1
p,P37,5,2,1
p,P40,5,2,1
ap,AP3,4,2,1
ap,AP5,4,2,1
ap,AP7,5,2,1
ap,AP8,5,2,1
ap,AP9,4,2,1
ap,AP10,5,2,1
ap,AP15,5,2,1
ap,AP16,4,2,1
ap,AP17,5,2,1
ap,AP18,5,2,1
ap,AP19,4,2,1
ap,AP21,4,2,1
ap,AP22,4,2,1
ap,AP23,6,2,1
ap,AP24,5,2,1
ap,AP25,4,2,1
ap,AP26,4,2,1
ap,AP29,4,2,1
ap,AP31,4,2,1
ap,AP33,4,2,1
ap,AP34,5,2,1
ap,AP35,4,2,1
ap,AP36,4,2,1
ap,AP37,5,2,1
ap,AP38,4,2,1
ap,AP39,5,2,1
ap,AP40,5,2,1
