treatment,ID,time,status,infection
1c,C1,5,2,NA
1c,C2,9,1,NA
1c,C3,9,1,NA
1c,C4,9,1,NA
1c,C5,9,1,NA
1c,C6,0,2,NA
1c,C7,5,2,NA
1c,C8,0,2,NA
1c,C9,5,2,NA
1c,C10,0,2,NA
1c,C11,9,1,NA
1c,C12,9,1,NA
1c,C13,9,1,NA
1c,C14,9,1,NA
1c,C15,0,2,NA
1c,C16,9,1,NA
1c,C17,9,1,NA
1c,C18,5,2,NA
1c,C19,9,1,NA
1c,C20,9,1,NA
1c,C21,9,1,NA
1c,C22,9,1,NA
1c,C23,9,1,NA
1c,C24,9,1,NA
1c,C25,2,2,NA
1c,C26,5,2,NA
1c,C27,9,1,NA
1c,C28,9,1,NA
1c,C29,9,1,NA
1c,C30,9,1,NA
1c,C31,9,1,NA
1c,C32,3,2,NA
1c,C33,9,1,NA
1c,C34,9,1,NA
1c,C35,3,2,NA
1c,C36,9,1,NA
1c,C37,9,1,NA
1c,C38,9,1,NA
1c,C39,9,1,NA
1c,C40,0,2,NA
a,A1,9,1,NA
a,A2,9,1,NA
a,A3,9,1,NA
a,A4,9,1,NA
a,A5,9,1,NA
a,A6,9,1,NA
a,A7,9,1,NA
a,A9,9,1,NA
a,A10,9,1,NA
a,A11,9,1,NA
a,A12,9,1,NA
a,A13,9,1,NA
a,A14,9,1,NA
a,A15,9,1,NA
a,A16,9,1,NA
a,A17,5,2,NA
a,A18,9,1,NA
a,A19,9,1,NA
a,A20,1,2,NA
a,A21,9,1,NA
a,A22,9,1,NA
a,A23,9,1,NA
a,A24,9,1,NA
a,A25,1,2,NA
a,A26,9,1,NA
a,A27,9,1,NA
a,A28,9,1,NA
a,A29,9,1,NA
a,A30,1,2,NA
a,A31,9,1,NA
a,A32,9,1,NA
a,A33,5,2,NA
a,A34,9,1,NA
a,A35,9,1,NA
a,A36,9,1,NA
a,A37,5,2,NA
a,A38,1,2,NA
a,A39,0,2,NA
a,A40,0,2,NA
p,P1,9,1,1
p,P2,9,1,1
p,P3,9,1,0
p,P4,7,2,1
p,P5,9,1,1
p,P6,9,1,1
p,P8,9,1,1
p,P9,9,1,1
p,P10,9,1,0
p,P11,0,2,NA
p,P12,9,1,0
p,P13,5,2,0
p,P14,9,1,0
p,P15,9,1,1
p,P16,1,2,NA
p,P17,8,2,1
p,P18,9,1,1
p,P19,9,1,1
p,P20,6,2,0
p,P21,5,2,0
p,P22,5,2,0
p,P23,9,1,1
p,P25,9,1,1
p,P26,8,2,1
p,P28,9,1,0
p,P30,4,2,NA
p,P31,9,1,1
p,P32,7,2,1
p,P33,9,1,1
p,P34,9,1,0
p,P35,9,1,0
p,P36,1,2,NA
p,P37,9,1,1
p,P38,5,2,0
p,P39,5,2,0
p,P40,9,1,1
ap,AP1,0,2,NA
ap,AP2,3,2,NA
ap,AP3,9,1,1
ap,AP4,5,2,0
ap,AP5,8,2,1
ap,AP6,5,2,0
ap,AP7,6,2,1
ap,AP8,8,2,1
ap,AP9,9,1,1
ap,AP10,9,1,1
ap,AP11,9,2,0
ap,AP12,5,2,0
ap,AP13,5,2,0
ap,AP14,2,2,NA
ap,AP15,9,2,1
ap,AP16,9,1,1
ap,AP17,9,1,1
ap,AP18,9,1,1
ap,AP19,9,1,1
ap,AP20,5,2,0
ap,AP21,9,1,1
ap,AP22,9,1,1
ap,AP23,9,2,1
ap,AP24,9,1,1
ap,AP25,9,1,1
ap,AP26,6,2,1
ap,AP27,1,2,NA
ap,AP28,0,2,NA
ap,AP29,9,1,1
ap,AP30,9,1,0
ap,AP31,9,1,1
ap,AP32,5,2,0
ap,AP33,9,1,1
ap,AP34,9,1,1
ap,AP35,9,1,1
ap,AP36,9,1,1
ap,AP37,9,1,1
ap,AP38,8,2,1
ap,AP39,7,2,1
ap,AP40,8,2,1
